longitude,latitude
120,37
120.25,37
120.5,37
120.75,37
121,37
121.25,37
121.5,37
121.75,37
122,37
122.25,37
122.5,37
122.75,37
123,37
123.25,37
123.5,37
123.75,37
124,37
124.25,37
124.5,37
124.75,37
125,37
125.25,37
125.5,37
125.75,37
126,37
126.25,37
126.5,37
126.75,37
127,37
127.25,37
127.5,37
127.75,37
128,37
128.25,37
128.5,37
128.75,37
129,37
129.25,37
129.5,37
129.75,37
130,37
120,37.25
120.25,37.25
120.5,37.25
120.75,37.25
121,37.25
121.25,37.25
121.5,37.25
121.75,37.25
122,37.25
122.25,37.25
122.5,37.25
122.75,37.25
123,37.25
123.25,37.25
123.5,37.25
123.75,37.25
124,37.25
124.25,37.25
124.5,37.25
124.75,37.25
125,37.25
125.25,37.25
125.5,37.25
125.75,37.25
126,37.25
126.25,37.25
126.5,37.25
126.75,37.25
127,37.25
127.25,37.25
127.5,37.25
127.75,37.25
128,37.25
128.25,37.25
128.5,37.25
128.75,37.25
129,37.25
129.25,37.25
129.5,37.25
129.75,37.25
130,37.25
120,37.5
120.25,37.5
120.5,37.5
120.75,37.5
121,37.5
121.25,37.5
121.5,37.5
121.75,37.5
122,37.5
122.25,37.5
122.5,37.5
122.75,37.5
123,37.5
123.25,37.5
123.5,37.5
123.75,37.5
124,37.5
124.25,37.5
124.5,37.5
124.75,37.5
125,37.5
125.25,37.5
125.5,37.5
125.75,37.5
126,37.5
126.25,37.5
126.5,37.5
126.75,37.5
127,37.5
127.25,37.5
127.5,37.5
127.75,37.5
128,37.5
128.25,37.5
128.5,37.5
128.75,37.5
129,37.5
129.25,37.5
129.5,37.5
129.75,37.5
130,37.5
120,37.75
120.25,37.75
120.5,37.75
120.75,37.75
121,37.75
121.25,37.75
121.5,37.75
121.75,37.75
122,37.75
122.25,37.75
122.5,37.75
122.75,37.75
123,37.75
123.25,37.75
123.5,37.75
123.75,37.75
124,37.75
124.25,37.75
124.5,37.75
124.75,37.75
125,37.75
125.25,37.75
125.5,37.75
125.75,37.75
126,37.75
126.25,37.75
126.5,37.75
126.75,37.75
127,37.75
127.25,37.75
127.5,37.75
127.75,37.75
128,37.75
128.25,37.75
128.5,37.75
128.75,37.75
129,37.75
129.25,37.75
129.5,37.75
129.75,37.75
130,37.75
120,38
120.25,38
120.5,38
120.75,38
121,38
121.25,38
121.5,38
121.75,38
122,38
122.25,38
122.5,38
122.75,38
123,38
123.25,38
123.5,38
123.75,38
124,38
124.25,38
124.5,38
124.75,38
125,38
125.25,38
125.5,38
125.75,38
126,38
126.25,38
126.5,38
126.75,38
127,38
127.25,38
127.5,38
127.75,38
128,38
128.25,38
128.5,38
128.75,38
129,38
129.25,38
129.5,38
129.75,38
130,38
120,38.25
120.25,38.25
120.5,38.25
120.75,38.25
121,38.25
121.25,38.25
121.5,38.25
121.75,38.25
122,38.25
122.25,38.25
122.5,38.25
122.75,38.25
123,38.25
123.25,38.25
123.5,38.25
123.75,38.25
124,38.25
124.25,38.25
124.5,38.25
124.75,38.25
125,38.25
125.25,38.25
125.5,38.25
125.75,38.25
126,38.25
126.25,38.25
126.5,38.25
126.75,38.25
127,38.25
127.25,38.25
127.5,38.25
127.75,38.25
128,38.25
128.25,38.25
128.5,38.25
128.75,38.25
129,38.25
129.25,38.25
129.5,38.25
129.75,38.25
130,38.25
120,38.5
120.25,38.5
120.5,38.5
120.75,38.5
121,38.5
121.25,38.5
121.5,38.5
121.75,38.5
122,38.5
122.25,38.5
122.5,38.5
122.75,38.5
123,38.5
123.25,38.5
123.5,38.5
123.75,38.5
124,38.5
124.25,38.5
124.5,38.5
124.75,38.5
125,38.5
125.25,38.5
125.5,38.5
125.75,38.5
126,38.5
126.25,38.5
126.5,38.5
126.75,38.5
127,38.5
127.25,38.5
127.5,38.5
127.75,38.5
128,38.5
128.25,38.5
128.5,38.5
128.75,38.5
129,38.5
129.25,38.5
129.5,38.5
129.75,38.5
130,38.5
120,38.75
120.25,38.75
120.5,38.75
120.75,38.75
121,38.75
121.25,38.75
121.5,38.75
121.75,38.75
122,38.75
122.25,38.75
122.5,38.75
122.75,38.75
123,38.75
123.25,38.75
123.5,38.75
123.75,38.75
124,38.75
124.25,38.75
124.5,38.75
124.75,38.75
125,38.75
125.25,38.75
125.5,38.75
125.75,38.75
126,38.75
126.25,38.75
126.5,38.75
126.75,38.75
127,38.75
127.25,38.75
127.5,38.75
127.75,38.75
128,38.75
128.25,38.75
128.5,38.75
128.75,38.75
129,38.75
129.25,38.75
129.5,38.75
129.75,38.75
130,38.75
120,39
120.25,39
120.5,39
120.75,39
121,39
121.25,39
121.5,39
121.75,39
122,39
122.25,39
122.5,39
122.75,39
123,39
123.25,39
123.5,39
123.75,39
124,39
124.25,39
124.5,39
124.75,39
125,39
125.25,39
125.5,39
125.75,39
126,39
126.25,39
126.5,39
126.75,39
127,39
127.25,39
127.5,39
127.75,39
128,39
128.25,39
128.5,39
128.75,39
129,39
129.25,39
129.5,39
129.75,39
130,39
